,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
11376,6.5495969213959695,0.1129467368163044,3.5253197891869203,1.0,1.0,0.0,0.0,0.0
189612,5.879581802515277,56.47966382622578,0.3938914006651566,1.0,0.0,0.0,0.0,0.0
245051,0.8459442859764967,0.7369423615442786,1.2215618632019494,0.0,1.0,0.0,0.0,0.0
253491,6.034725524712324,0.3837332869857477,1.2371327810618646,1.0,1.0,0.0,1.0,0.0
156786,9.992911576253642,4.565328575302871,1.833640698143551,1.0,0.0,0.0,1.0,0.0
576599,0.9625003623041962,0.0541304774671265,28.56677287274408,0.0,0.0,0.0,0.0,1.0
848513,53.40136211638761,2.158504597086029,0.3057431030722559,1.0,0.0,0.0,0.0,0.0
54669,17.749404147377142,9.097589449480392,0.9526369839369832,1.0,0.0,0.0,0.0,0.0
801947,1.6800987495562136,1.1641528925969191,0.9397470686188272,0.0,0.0,1.0,1.0,0.0
691233,6.362058443950459,1.1620443549800274,1.1998845777541485,1.0,0.0,0.0,1.0,0.0
808212,4.586772838594561,1.2766671510736871,0.6648737171307595,1.0,0.0,0.0,1.0,0.0
446315,5.666543012989916,0.3093546838148896,0.9303525778328492,1.0,1.0,0.0,1.0,0.0
108127,3.769332449108061,9.640847277272783,0.3704806740321488,1.0,0.0,0.0,1.0,0.0
737150,2.983197291939236,1.2730412529767947,0.1184214527771996,1.0,1.0,0.0,0.0,0.0
148846,4.196878279917731,7.578982823578403,2.991745686122171,1.0,1.0,0.0,0.0,0.0
100264,16.357555974816368,0.3754837017285271,0.8364015835810961,1.0,0.0,0.0,1.0,0.0
172594,22.308914564548864,3.708006752685986,3.5555486329795003,1.0,0.0,0.0,1.0,0.0
785492,10.833869920660035,0.2316774323924677,0.7229970198461564,1.0,1.0,0.0,1.0,0.0
132053,6.252043811608283,0.2435364218121124,2.6107616006627765,1.0,1.0,0.0,1.0,0.0
271767,20.297449922957465,4.7249830210576,1.6816603373801595,1.0,0.0,0.0,1.0,0.0
736513,6.770543011136409,0.4097482457428635,9.260775226252733,1.0,1.0,0.0,1.0,1.0
643239,3.778379295012611,0.488552405491446,0.6753815775851439,1.0,0.0,0.0,0.0,0.0
821400,11.983665502724689,1.076437700311483,0.2714159739794922,1.0,1.0,0.0,1.0,0.0
165510,69.53852692349486,4.258071312527197,0.9493239188586714,1.0,1.0,1.0,1.0,0.0
107765,39.05663127371406,7.956582086925052,0.0732726455524007,1.0,1.0,0.0,0.0,0.0
71421,51.78120611308707,0.0977788157463763,0.6213637874563737,1.0,1.0,0.0,1.0,0.0
244197,3.834716544901185,0.8448075685307177,9.973126909349077,1.0,0.0,0.0,1.0,1.0
504674,4.856791981015415,3.5182668827640726,3.225609218606459,1.0,0.0,0.0,1.0,0.0
452541,9.356501602293712,0.17343499057203,0.1185529950031686,1.0,0.0,0.0,0.0,0.0
974539,0.8029549089999487,1.0224831735591202,0.5216725019320302,0.0,0.0,0.0,0.0,0.0
241383,34.9479297883353,0.0434847856860612,1.589172089465153,1.0,0.0,0.0,1.0,0.0
337858,27.76812822027031,1.0660731756820137,0.4948982474842222,1.0,0.0,0.0,1.0,0.0
341209,7.578378893746013,1.025152779949555,0.9100195588043412,1.0,0.0,0.0,1.0,0.0
868490,52.580979339816686,0.1778042061957048,2.4446004624692987,1.0,0.0,1.0,1.0,0.0
114965,17.408709848771295,0.225579527693251,10.301743018885926,1.0,0.0,0.0,1.0,1.0
173497,87.90568385878724,0.4393573530527355,0.3138120236183073,1.0,1.0,0.0,1.0,0.0
449370,20.40786023790318,31.06922847704349,1.8187957618425803,1.0,0.0,0.0,1.0,0.0
878176,1.6836396407798349,0.2053060942245598,0.6524176403117067,0.0,0.0,0.0,0.0,0.0
267969,6.78108417305299,0.8678090494123061,0.2260916311120069,1.0,0.0,0.0,1.0,0.0
9047,478.7399649790007,1.8005131282313005,0.2401181598819745,1.0,0.0,1.0,0.0,0.0
881295,6.2788710597912525,1.300158380704806,0.4192387991343126,1.0,0.0,0.0,0.0,0.0
665305,22.93455241804513,0.5731174974284038,0.77851753917774,1.0,0.0,0.0,0.0,0.0
364335,17.215630870195525,3.341112491563416,1.240259991098151,1.0,1.0,1.0,1.0,0.0
320421,3.61624707999312,2.2657251849454747,0.4189976222416254,1.0,1.0,0.0,0.0,0.0
240897,85.82016741514795,0.5298741043366708,1.3632137026865685,1.0,0.0,0.0,1.0,0.0
51805,932.6239143879064,2.5085278765363923,0.3977449493376932,1.0,1.0,0.0,0.0,0.0
259048,8.277399452000996,3.1152798793934204,1.3698774898881363,1.0,0.0,0.0,1.0,0.0
285774,24.082430435052224,39.12905882320734,2.069461559146113,1.0,1.0,0.0,0.0,0.0
583899,114.48398778004062,0.2061630340257146,1.3100695760595311,1.0,0.0,0.0,1.0,1.0
645082,2.3213547046998437,2.9158763518958284,4.522222236573202,1.0,0.0,0.0,1.0,1.0
234843,8.817538440129717,1.1619007924410871,1.3987196152161614,1.0,1.0,0.0,1.0,0.0
238887,3.052389927211991,1.868023587666859,1.0010675247582612,1.0,0.0,0.0,1.0,0.0
441606,208.3045964157666,0.5595385068552645,0.2368219654246639,1.0,1.0,0.0,0.0,0.0
106862,22.85643182884852,0.0422968932044732,0.9847802907073352,1.0,1.0,0.0,0.0,0.0
865951,7.7666973162075825,1.5885360305634904,2.4174235939551214,1.0,0.0,0.0,1.0,0.0
367390,3.126437749723049,6.907383516275197,0.0828879992461404,1.0,0.0,0.0,1.0,0.0
215425,13.672070637633729,6.852607991232718,6.188987772568796,1.0,1.0,0.0,0.0,0.0
565969,16.85540037541001,9.317339421057788,1.568215156821741,1.0,1.0,0.0,1.0,0.0
458687,3.032639990072517,0.7595523106158606,0.2281569890654631,1.0,0.0,0.0,0.0,0.0
567259,1.5522126411285049,3.7962992980758337,0.4708760276248583,0.0,0.0,0.0,1.0,0.0
932372,14.536378949527457,0.4575082204179886,1.074554271783651,1.0,1.0,0.0,1.0,0.0
95812,7.075926545483848,0.9200137585037546,0.2728521164371569,1.0,0.0,0.0,1.0,0.0
449251,8.768089688073859,13.868563466493825,1.675897674715459,1.0,0.0,0.0,0.0,0.0
689606,92.2602243394803,1.1247304899908288,3.2973548506103896,1.0,0.0,0.0,0.0,0.0
572728,12.49850996103556,3.1409047131049497,0.1043559179241116,1.0,0.0,0.0,1.0,0.0
65846,5.002605357813137,2.8289566945027182,0.6429405028822027,1.0,0.0,0.0,1.0,0.0
655532,10.147111802446764,2.5863809897443417,0.4346778822585184,1.0,0.0,0.0,1.0,0.0
956889,12.50291096155224,0.1794070779070243,0.8439486112139377,1.0,1.0,1.0,0.0,0.0
650504,39.724997687719934,5.72667727056451,1.6120434098893397,1.0,0.0,0.0,1.0,0.0
453894,16.697680012261813,3.24760504120294,1.705849544345402,1.0,0.0,1.0,0.0,0.0
351533,4.778225575869846,3.2777550426926307,2.891010518669697,1.0,0.0,1.0,0.0,0.0
368580,5.3210788293123565,1.1674403752670766,0.7938367153279464,1.0,1.0,0.0,1.0,0.0
534525,3.518480279291571,0.5684117725951542,1.8126305370729647,1.0,0.0,0.0,1.0,0.0
49870,0.4613239212185873,0.7014103144111532,9.310502382717289,0.0,0.0,0.0,0.0,1.0
182921,16.59592333074928,1.8696344644151173,0.6501044571462314,1.0,1.0,0.0,1.0,0.0
359871,21.72594429400533,0.346694557776304,0.4978950758488622,1.0,1.0,0.0,1.0,0.0
884843,2.0208472889700118,0.0426208684471089,0.3975229826858278,1.0,1.0,0.0,0.0,0.0
204580,9.484304252088585,30.53239403814479,0.3671764791281536,1.0,1.0,0.0,1.0,0.0
366199,2.430387845676374,1.8217341980946864,6.901347439647892,1.0,0.0,1.0,0.0,0.0
395392,23.961231947946256,7.030724979540893,0.542900806080708,1.0,0.0,0.0,1.0,0.0
522489,0.9497205128958373,3.0815020798517945,0.5627384059264725,0.0,0.0,0.0,0.0,0.0
457369,19.56469326070558,17.16518840348033,3.506032803899123,1.0,0.0,0.0,1.0,0.0
722599,13.791993630394533,0.2915991617334242,0.3085209282147751,1.0,1.0,0.0,0.0,0.0
887667,58.70461151216925,0.7560785784364554,0.4995632355729158,1.0,1.0,0.0,1.0,0.0
471039,7.183687362253005,3.475590694022192,0.4959163230345202,1.0,1.0,0.0,0.0,0.0
597854,4.744590068732413,2.9499832839417026,2.3742675301013487,1.0,0.0,0.0,0.0,0.0
818873,14.374081968856611,0.1250873146382985,4.317182717586435,1.0,0.0,0.0,0.0,0.0
335792,9.457076258006868,1.9336766393419995,1.879186878744156,1.0,1.0,1.0,1.0,0.0
365431,24.762227515553683,1.0619705520215283,2.948018385942482,1.0,0.0,0.0,0.0,0.0
907594,31.103256861283608,1.298670337713223,0.4054615171180011,1.0,0.0,1.0,1.0,0.0
46762,36.77316257547764,0.8908049521503111,0.5340404178559387,1.0,1.0,0.0,1.0,0.0
442817,36.32011468727695,1.378546501778576,0.2518138357076647,1.0,1.0,0.0,1.0,0.0
994788,4.324880144075378,0.8876039253413526,0.2870438957631935,1.0,0.0,0.0,1.0,0.0
566057,48.00814479264412,4.301495954438686,1.8390813250373328,1.0,0.0,0.0,0.0,0.0
748206,1.150033655889627,0.7569457783403777,0.1914643114801207,0.0,1.0,0.0,0.0,0.0
539936,30.70534798901542,0.3700061922911854,2.4815823803560577,1.0,0.0,0.0,0.0,0.0
35821,6.505842418088689,0.6031256584233409,1.193255463279277,1.0,1.0,0.0,0.0,0.0
671217,11.698039198672424,2.031460912436873,1.0679017592373714,1.0,0.0,0.0,0.0,0.0
602152,1.5113022822761475,0.5888313422461282,0.63924356795214,0.0,1.0,0.0,1.0,0.0
729016,6.11524906109782,1.4293518038387822,0.5675174675864334,1.0,0.0,0.0,0.0,0.0
349768,1.4043517030751134,0.4216596366267911,1.4363645552970503,0.0,1.0,0.0,1.0,0.0
